date,taiex_close,otc_close,disp,absmove,pct5,adv,n,s_mean,s_abs,s_lim,mkt50_abs,s_k,ld_n,ld_share,ld_abs,ld_dd
2018-05-30,10821.17,155.28,2.3602,1.4358,5.26,30.5,1577,0.1418,2.686,6.32,1.3857,95.0,23,27.26,3.05,-4.18
2018-05-31,10874.96,155.98,2.5657,1.6376,7.1,58.4,1577,-0.5335,2.9364,3.16,1.6558,95.0,22,27.17,2.54,-5.37
2018-06-01,10949.08,156.53,2.3507,1.5237,5.58,57.13,1577,0.1705,2.083,1.04,1.4499,96.0,20,25.78,3.06,-5.34
2018-06-04,11109.5,158.04,2.4034,1.4995,6.79,62.21,1577,1.519,2.6162,9.38,1.4385,96.0,22,26.96,2.68,-4.49
2018-06-05,11100.11,157.36,2.3843,1.3999,5.39,39.35,1578,-0.9599,2.9106,3.09,1.2867,97.0,24,29.22,3.07,-6.46
2018-06-06,11201.83,159.07,2.2965,1.4485,6.08,60.84,1578,2.543,3.2504,12.37,1.3908,97.0,26,28.72,3.36,-3.18
2018-06-07,11251.75,158.84,2.2944,1.3343,4.76,44.58,1577,0.5552,2.5162,7.14,1.3052,98.0,25,28.09,2.64,-4.37
2018-06-08,11156.42,157.75,2.3106,1.3758,4.88,33.73,1577,-0.0417,2.3554,4.08,1.1483,98.0,24,27.65,2.0,-5.2
2018-06-11,11149.23,158.47,2.8155,1.7221,8.37,42.55,1577,1.8126,3.614,15.31,1.4539,98.0,23,27.57,3.94,-3.29
2018-06-12,11144.79,158.99,2.3996,1.4248,4.82,41.13,1578,0.4893,2.7315,9.18,1.3251,98.0,26,29.13,2.68,-4.79
2018-06-13,11173.21,157.87,2.3542,1.3788,5.58,34.92,1578,-1.7352,3.0707,6.12,1.374,98.0,26,28.12,3.65,-6.41
2018-06-14,11013.98,157.58,2.006,1.2531,3.55,29.02,1578,-0.0801,2.4415,4.08,1.2285,98.0,26,28.06,2.33,-7.29
2018-06-15,11087.47,157.55,1.9201,1.1853,3.36,43.28,1578,0.4839,2.3735,4.08,1.2798,98.0,28,29.25,2.46,-5.79
2018-06-19,10904.19,154.93,2.2622,1.6299,5.06,20.95,1580,-1.6153,3.2235,5.1,1.7097,98.0,27,28.82,3.99,-7.4
2018-06-20,10927.44,153.62,2.2463,1.495,5.25,27.09,1580,-2.4207,3.2098,7.22,1.4678,97.0,25,27.76,4.36,-11.38
2018-06-21,10941.07,155.57,2.1065,1.295,4.75,54.49,1580,1.4294,2.7565,5.21,1.3339,96.0,23,26.86,2.3,-9.81
2018-06-22,10899.28,154.07,2.08,1.3202,3.86,26.96,1580,-2.0214,2.9852,3.09,1.3388,97.0,23,26.46,3.32,-12.55
2018-06-25,10786.46,153.74,2.3296,1.3968,5.82,33.04,1580,-1.8052,2.9955,4.12,1.318,97.0,20,25.04,2.84,-14.12
2018-06-26,10742.17,153.56,2.3804,1.5806,5.82,28.42,1580,0.5147,2.3366,2.06,1.4883,97.0,16,22.87,4.09,-11.48
2018-06-27,10701.03,153.81,2.0812,1.217,3.67,38.1,1580,-0.4296,2.0763,3.16,1.1519,95.0,14,21.77,3.02,-12.65
2018-06-28,10654.28,152.12,2.173,1.3069,4.3,33.29,1580,-0.8767,1.9879,2.11,1.2337,95.0,16,23.31,2.49,-13.43
2018-06-29,10836.91,153.53,1.9922,1.325,4.05,65.25,1580,1.1544,2.1839,5.26,1.4616,95.0,16,23.54,3.69,-10.23
2018-07-02,10777.94,152.96,2.0789,1.308,4.05,31.39,1580,0.3102,2.1866,5.26,1.3437,95.0,16,23.68,4.67,-9.82
2018-07-03,10715.72,150.76,2.0898,1.6972,4.75,15.25,1580,-1.8531,2.5579,2.11,1.6913,95.0,17,24.22,3.15,-11.47
2018-07-04,10721.87,149.26,2.2903,1.3595,5.0,37.22,1580,0.3882,2.0982,4.26,1.3498,94.0,16,22.81,3.37,-9.65
2018-07-05,10611.81,146.54,2.1575,1.6668,6.14,15.81,1581,-2.3017,2.8781,2.13,1.6649,94.0,16,22.43,5.06,-12.37
2018-07-06,10608.57,146.98,2.2204,1.4494,4.3,35.02,1582,0.1499,1.6591,2.15,1.4554,93.0,15,20.58,3.09,-11.1
2018-07-09,10720.28,147.94,2.3833,1.5673,6.06,59.57,1583,0.0565,1.8846,3.23,1.5873,93.0,14,20.58,2.88,-11.31
2018-07-10,10756.89,149.56,2.1881,1.4172,5.18,55.27,1583,0.7592,1.781,1.08,1.4647,93.0,12,18.6,4.76,-8.36
2018-07-11,10676.84,148.78,1.9259,1.1953,3.1,30.57,1583,-0.7331,1.8458,2.15,1.1453,93.0,12,17.64,2.65,-8.87
2018-07-12,10738.38,150.16,1.9635,1.2918,3.54,61.44,1582,0.8586,1.619,2.15,1.312,93.0,14,19.21,3.7,-6.91
2018-07-13,10864.54,151.81,1.9287,1.2658,3.98,63.97,1582,1.0817,1.7126,3.19,1.3186,94.0,14,20.1,3.56,-7.24
2018-07-16,10817.45,152.46,2.0664,1.2483,3.86,43.24,1582,0.3336,1.9594,4.26,1.2155,94.0,17,22.89,2.8,-9.44
2018-07-17,10778.99,151.26,1.9501,1.1915,3.03,35.5,1583,-0.2562,1.3898,0.0,1.1372,94.0,16,21.72,2.83,-10.64
2018-07-18,10842.46,150.58,2.1174,1.2917,4.04,46.37,1583,0.2129,2.3324,5.32,1.4472,94.0,12,18.42,4.04,-9.22
2018-07-19,10835.38,151.13,1.6992,1.0449,2.46,35.48,1584,-0.606,1.8349,1.06,1.099,94.0,10,12.28,2.34,-6.73
2018-07-20,10932.11,150.05,1.974,1.1509,3.47,31.44,1584,-0.6938,1.8768,2.13,1.173,94.0,12,18.88,3.68,-8.24
2018-07-23,10946.89,148.02,2.1131,1.3432,4.35,31.78,1586,-0.8395,2.0829,2.15,1.3889,93.0,9,6.12,1.87,-4.6
2018-07-24,10995.39,149.96,1.7971,1.1769,3.15,60.84,1586,0.9794,1.6299,1.08,1.3088,93.0,11,15.17,1.95,-4.19
2018-07-25,10965.79,150.48,1.812,1.0834,2.52,46.69,1587,0.1625,1.4724,0.0,1.0343,93.0,12,12.05,1.77,-4.17
2018-07-26,11010.61,151.46,1.7377,1.0915,2.65,55.32,1587,0.5547,1.6591,0.0,1.117,94.0,14,18.62,2.02,-4.54
2018-07-27,11075.78,152.12,1.6905,1.0166,2.46,51.29,1587,0.4687,1.3143,0.0,0.981,94.0,14,16.89,1.12,-3.44
2018-07-30,11033.54,150.09,2.0343,1.3082,3.78,29.66,1588,-0.9843,2.0317,0.0,1.3788,94.0,17,27.26,3.96,-7.99
2018-07-31,11057.51,150.61,1.7139,1.0402,2.58,51.45,1588,0.4165,1.5784,1.06,1.0932,94.0,13,12.37,1.92,-1.71
2018-08-01,11098.13,151.27,1.8125,1.101,3.34,54.97,1588,0.5945,1.8068,3.19,1.1549,94.0,16,14.35,1.74,-2.18
2018-08-02,10929.77,148.95,1.8333,1.354,3.59,17.7,1588,-1.4698,2.1226,0.0,1.5033,95.0,13,13.33,1.48,-2.79
2018-08-03,11012.43,150.79,1.7881,1.1167,3.46,58.88,1588,0.8526,1.896,1.06,1.248,94.0,13,12.71,1.54,-2.26
2018-08-06,11024.1,151.4,1.8646,1.1278,3.53,49.62,1588,0.9172,2.054,1.06,1.1249,94.0,15,13.71,1.87,-3.03
2018-08-07,10983.44,151.86,1.9474,1.157,3.09,41.62,1588,-0.8845,1.6279,0.0,1.0773,94.0,16,14.12,1.53,-3.52
2018-08-08,11075.25,150.72,1.9706,1.1627,3.59,42.95,1588,0.2126,1.7724,1.05,1.1385,95.0,15,13.91,1.53,-2.94
2018-08-09,11028.07,149.45,1.8464,1.1011,3.15,33.12,1588,-0.2311,1.2915,0.0,1.0103,95.0,16,14.2,1.02,-3.07
2018-08-10,10983.68,148.54,2.0171,1.2827,3.84,28.78,1588,-0.919,1.5831,1.06,1.2062,94.0,16,14.2,1.75,-3.95
2018-08-13,10748.92,142.7,2.8401,2.9815,18.89,9.89,1588,-2.6994,3.0955,2.13,2.9448,94.0,19,15.66,2.83,-6.31
2018-08-14,10824.23,144.78,2.3024,1.5361,5.67,61.02,1588,1.8743,2.1083,2.13,1.5031,94.0,16,12.42,1.32,-4.23
2018-08-15,10716.75,142.46,2.2309,1.6177,5.35,20.91,1588,-0.7096,1.7694,0.0,1.6255,93.0,18,14.51,2.07,-6.29
2018-08-16,10683.9,142.19,2.0227,1.2551,3.85,34.38,1585,0.0045,1.4144,0.0,1.2748,93.0,15,11.91,1.42,-5.6
2018-08-17,10690.96,141.6,1.8907,1.1307,2.84,45.08,1584,0.0555,1.3422,1.08,1.0716,93.0,15,11.91,1.49,-6.3
2018-08-20,10699.05,139.71,2.2807,1.4394,5.74,35.73,1584,-0.3456,1.2632,0.0,1.4124,93.0,17,12.79,1.79,-6.16
2018-08-21,10792.2,141.77,1.8972,1.238,3.6,59.53,1584,0.9993,1.3485,0.0,1.2562,92.0,14,11.17,2.3,-4.32
2018-08-22,10804.2,141.23,1.9026,1.1124,3.15,41.27,1587,0.2217,1.3254,2.15,1.0564,93.0,16,11.87,1.22,-5.81
2018-08-23,10863.13,141.0,1.9255,1.1564,3.15,43.41,1585,0.572,1.4567,1.09,1.1802,92.0,18,12.79,1.07,-4.61
2018-08-24,10809.35,139.44,1.7393,1.149,2.59,26.31,1585,-1.0059,1.3828,0.0,1.1568,92.0,20,14.56,1.29,-4.86
